PassengerId,Survived_pred,Survived_prob
892,0,0.05916271318007317
893,0,0.14815007762610274
894,0,0.3285070315792777
895,0,0.4088689092807458
896,0,0.38349411275626644
897,0,0.10300603127062888
898,0,0.19794651499552235
899,0,0.03130461591789185
900,1,0.9666563477239034
901,0,0.038377635180870485
902,0,0.038916287845172
903,0,0.08451998021609934
904,1,0.9673656062355593
905,0,0.13592180928387948
906,1,0.9654531430443719
907,1,0.9504982352258111
908,0,0.061689413267582184
909,0,0.38013006427097035
910,0,0.44819582915071354
911,1,0.5727322325339244
912,0,0.36175762563964003
913,1,0.5082244844077043
914,1,0.9700539971287474
915,0,0.3403951979346571
916,1,0.982074206449675
917,0,0.025075102156449113
918,1,0.987125075132924
919,0,0.38013006427097035
920,1,0.601966609133701
921,0,0.10214559105319311
922,0,0.03810624385172253
923,0,0.07099085006505597
924,1,0.7535021251896714
925,0,0.08594457432490028
926,1,0.6669323920705876
927,0,0.343068631337538
928,0,0.15288622360718523
929,0,0.08415213663309448
930,0,0.041806367621777696
931,0,0.44534400644781236
932,0,0.07924948362258606
933,0,0.4070832250338642
934,0,0.07536981258379297
935,1,0.9583302121778408
936,1,0.9818656807406896
937,0,0.09316466685285932
938,0,0.06204888429228219
939,0,0.14403546629906208
940,1,0.9894803937952045
941,1,0.8809902146881221
942,0,0.12491061398356243
943,0,0.2766901235808289
944,1,0.9729485459055124
945,1,0.9297502610033325
946,0,0.11766056573433192
947,0,0.02022713830870713
948,0,0.028929572584016853
949,0,0.06447052984838028
950,0,0.05567995947420115
951,1,0.9907776293206725
952,0,0.03252309363365573
953,0,0.3477185678986949
954,0,0.058019079137496266
955,1,0.8873237871902523
956,0,0.1461452085162734
957,1,0.9459872032835792
958,1,0.7153403963001106
959,0,0.024501881018600756
960,0,0.20047588953274012
961,1,0.8851624334361342
962,1,0.6081524024100667
963,0,0.0294017333523413
964,1,0.7154746374641989
965,0,0.17697296942774307
966,1,0.9907776293206725
967,0,0.16171571925496975
968,0,0.07208525881472841
969,1,0.9802231056943207
970,0,0.107347995087476
971,1,0.6081524024100667
972,1,0.9883142911837017
973,0,0.04909901096123118
974,0,0.18364840440387165
975,0,0.038916287845172
976,0,0.12167711994134509
977,0,0.047827140216122346
978,1,0.9556945482665112
979,0,0.39734824629850163
980,1,0.7538724126231089
981,1,0.9885684128831119
982,0,0.48569523475188575
983,0,0.15366927036959305
984,1,0.9108195045420285
985,0,0.07208525881472841
986,0,0.2827416062260481
987,0,0.11612694966456723
988,1,0.9735187115958936
989,0,0.35967686817028843
990,0,0.2829205395892741
991,0,0.05585904283614999
992,1,0.9910989781443853
993,0,0.08476441051307512
994,0,0.14403546629906208
995,0,0.29321855014461756
996,1,0.6827480857961504
997,0,0.10183316408252902
998,0,0.10797106811186
999,0,0.14403546629906208
1000,0,0.07410553770047398
1001,0,0.059577589403989294
1002,0,0.06770027915403917
1003,1,0.7736311895228148
1004,1,0.9789926721837255
1005,1,0.7904868321335295
1006,1,0.9827071639849246
1007,0,0.07977031994229151
1008,0,0.02138973827533106
1009,1,0.9301616069775851
1010,0,0.49776182572307254
1011,1,0.958620014731442
1012,1,0.8979725242390209
